_isTrial:integer,_isCien:integer,_isClean:integer,id:integer,skitId:integer,order:integer,speaker:string,faceId:integer,text:string,imageId:integer,soundId:string
,,,1,1,1,oracle,1,おにーさん、たすけてほしいの。この本、呪われてるんだ。,,
,,,2,1,2,protagonist,,（ずいぶん古い本だ…）,,
,,,3,1,3,deathscythe,2,わたし、この本にとりこまれちゃって…。,,
,,,4,1,4,oracle,3,本の中を進んで、最後のページまでたどり着けば呪いはとけるはず。,,
,,,5,1,5,deathscythe,4,…駒は、あなたが動かしてください。わたしは斬るだけです。,,
,,,6,2,1,deathscythe,2,それでは、行きます。,,
,,,7,2,2,protagonist,,（したの段のパネルだけ選べるらしい）,,
,,,8,2,3,deathscythe,1,敵のライフが 2 以下なら、鎌が勝手に仕留めます。…便利でしょう。,,
,,,9,3,1,deathscythe,20,…この先に、大きいのがいます。,,
,,,10,3,2,protagonist,,（ぬしだ。準備はいいか）,,
,,,11,3,3,deathscythe,15,はい。斬ります。,,
,,,12,4,1,deathscythe,31,…最後のページ、です。,,
,,,13,4,2,protagonist,,（これで呪いは…？）,,
,,,14,4,3,deathscythe,10,…まだ、何かが残っている気がします。,,
,,,15,5,1,deathscythe,13,ページの向こうに…本の呪いそのものが。,,
,,,16,5,2,protagonist,,（ここまで来たら、行くしかない）,,
,,,17,5,3,deathscythe,15,ええ。全部、斬ります。,,
,,,18,6,1,deathscythe,31,…終わりました。ありがとうございます。,1,
,,,19,7,1,deathscythe,2,…呪いはとけたみたいです。少し、物足りませんが。,1,
,,,20,8,1,deathscythe,14,…力が、抜けて…。,1,
