_isTrial:integer,_isCien:integer,_isClean:integer,id:integer,key:string,kind:string,polarity:string,side:string,duration:string,characterId:integer,name:string,description:string,icon:string,sdLayer:string,effect:string,values:intarray,next:string,order:integer
,,,1,poison,common,bad,both,stack,-1,どく,行動の直前にスタック値のダメージ。ブロック・シールド貫通。回復で全部消える。,poison,status_poison,,[],,1
,,,2,sleep,common,bad,player,turn,-1,ねむり,手番をスキップ。敵の攻撃を受けると起きる。,sleep,status_sleep,,[],,2
,,,3,paralyze,common,bad,player,stack,-1,しびれ,武器を ON にできない。,paralyze,status_paralyze,,[],,3
,,,4,arousal,common,bad,player,stack,-1,はつじょう,アビリティを使えない。,heart,status_arousal,,[],,4
,,,5,sticky,common,bad,player,stack,-1,ねばねば,いつも後攻。,nebaneba,status_sticky,,[],,5
,,,6,confusion,common,bad,player,stack,-1,こんらん,インベントリがシャッフルされ、中身が見えない。,confusion,status_confusion,,[],,6
,,,7,power,common,good,player,permanent,-1,こうげきアップ,この章のあいだ こうげき +n。,adrenaline,,,[],,7
,,,8,abilityDamage,common,good,player,permanent,-1,アビリティアップ,この章のあいだ アビリティダメージ +n。,comet,,,[],,8
,,,9,evade,common,good,player,permanent,-1,かいひ,敵の次の通常攻撃を 1 回だけ無効化 (1 ターンに 2 回攻撃されたら 2 回目は当たる)。,feather,,,[],,9
,,,10,focus,common,good,player,permanent,-1,こうちょう,次の 1 回の通常攻撃のダメージ +2。,adrenaline,,,[2],,10
,,,11,ds_crystal,unique,bad,player,turn,1,けっしょうか,足が結晶に包まれて、バトルから逃げられない。,crystal,unique_ds_crystal,,[],,11
,,,12,ds_fever,unique,bad,player,turn,1,たいおんじょうしょう,服を脱ぎ捨ててしまった。衣装は完全に破れ、なおすこともできない。,fire,unique_ds_fever,,[],,12
,,,21,normal,costume,neutral,player,permanent,-1,ふつうの衣装,,,costume_normal,,[],half,21
,,,22,half,costume,neutral,player,permanent,-1,衣装半破壊,こうげき -1。,,costume_half,,[],full,22
,,,23,full,costume,neutral,player,permanent,-1,衣装破壊,こうげき -1、被ダメ +1。,,costume_full,,[],full,23
,,,24,special1,costume,neutral,player,permanent,-1,みずぎ,1 ターン目、相手の攻撃力 -4。クロスブレイクで元にもどる。,,costume_special1,,[4],normal,24
,,,31,powerDelta,buff,neutral,both,stack,-1,こうげき変化,このバトル中の攻撃力の変化。,,,,[],,31
,,,32,blockDelta,buff,neutral,both,stack,-1,ブロック変化,このバトル中のブロックの変化。,,,,[],,32
