_isTrial:integer,_isCien:integer,_isClean:integer,id:integer,key:string,text:string
,,,1,title.start,はじめる
,,,2,title.continue,つづきから
,,,3,title.options,オプション
,,,4,common.back,もどる
,,,5,common.close,とじる
,,,6,common.yes,はい
,,,7,common.no,いいえ
,,,8,menu.heading,ヒロインをえらぶ
,,,9,book.heading,本をえらぶ
,,,10,book.start,はじめる
,,,11,book.abandon,はじめから (いまのランを破棄)
,,,12,ingame.chapter,章
,,,13,ingame.coin,コイン
,,,14,ingame.life,ライフ
,,,15,ingame.deck,のこりのパネル
,,,16,ingame.boss,ぬし
,,,17,ingame.harshness,本の要求
,,,18,ingame.giveUp,あきらめる
,,,19,panel.take,もらう ({n} コイン)
,,,20,panel.dump,すてる (+1 コイン)
,,,21,panel.fight,たたかう
,,,22,panel.next,ネクスト
,,,23,panel.chapterClear,とびらがひらいた
,,,24,battle.attack,こうげき
,,,25,battle.flee,にげる
,,,26,battle.cancel,やめる
,,,27,battle.close,とじる
,,,28,battle.turn,ターン {n}
,,,29,battle.shield,シールド
,,,30,battle.block,ブロック
,,,31,battle.stunned,スタン
,,,32,intermission.heading,じゅんび
,,,33,intermission.heal,ライフを 1 回復 ({n} ジュエル)
,,,34,intermission.reroll,ひきなおす ({n} ジュエル)
,,,35,intermission.go,しゅっぱつ
,,,36,intermission.soldOut,うりきれ
,,,37,intermission.jewel,ジュエル
,,,38,intermission.crown,クラウン
,,,39,result.normal,ノーマルエンド
,,,40,result.happy,ハッピーエンド
,,,41,result.lose,まけちゃった…
,,,42,result.abandoned,あきらめた
,,,43,result.toMenu,本えらびへ
,,,44,pending.heading,もちものがいっぱい
,,,45,pending.discard,受け取らない
,,,46,inventory.on,ON
,,,47,inventory.off,OFF
,,,48,inventory.use,つかう
,,,49,reason.coins,コインがたりない
,,,50,reason.jewels,ジュエルがたりない
,,,51,reason.crowns,クラウンがたりない
,,,52,reason.sleep,ねむっている
,,,53,reason.paralyze,しびれて武器を ON にできない
,,,54,reason.arousal,はつじょうしてアビリティをつかえない
,,,55,reason.armorForbidden,この本では防具を装備できない
,,,56,reason.itemOnlyBattle,戦闘中にだけつかえる
,,,57,reason.abilityNotReady,まだつかえない
,,,58,reason.hpFull,ライフは満タン
,,,59,reason.soldOut,うりきれ
,,,60,reason.battleStarted,もう始まっている
,,,61,inspector.title,インスペクタ
,,,62,volume.title,おんりょう
,,,63,volume.master,ぜんたい
,,,64,volume.bgm,BGM
,,,65,volume.se,こうかおん
,,,66,options.fast,せんとう高速化
,,,67,reason.choiceLocked,いまは選べない
,,,68,reason.crystal,足が結晶に包まれて逃げられない
,,,69,reason.fever,体温上昇中は衣装をなおせない
,,,70,reason.itemUseBlocked,いまは使えない
,,,71,recharge.exhaust,アイテムか装備を使い切ると復活
,,,72,recharge.justLethal,ジャストリーサルで復活
,,,73,recharge.damageTaken,累計 {n} ダメージを受けると復活
,,,74,recharge.turn,{n} ターン経過で復活
,,,75,recharge.kill,敵を {n} 体倒すと復活
,,,76,recharge.otherAbilityUse,ほかのアビリティを {n} 回使うと復活
,,,77,recharge.none,復活しない
,,,78,battle.enemyShield,シールド
,,,79,battle.lethal,リーサルサイズ!
,,,80,battle.evade,かわした!
,,,81,battle.justLethal,ジャストリーサル!
,,,82,title.subtitle,オラクルちゃんと呪いの本
,,,83,title.savedata,セーブ管理
,,,84,title.credits,クレジット
,,,85,title.opening,オープニング
,,,86,common.ok,けってい
,,,87,common.cancel,やめる
,,,88,common.letItBe,やめておく
,,,89,common.attack,こうげき
,,,90,common.block,ブロック
,,,91,kind.equipment,そうび
,,,92,kind.item,アイテム
,,,93,kind.ability,アビリティ
,,,94,kind.event,イベント
,,,95,kind.relic,レリック
,,,96,stat.power,こうげき {n}
,,,97,stat.block,ブロック {n}
,,,98,stat.durability,たいきゅう {n}
,,,99,stat.size,サイズ {n}
,,,100,stat.abilityUses,{n} 回
,,,101,stat.ability,アビリティ
,,,102,stat.uses,{n} 回
,,,103,panel.chapterClearName,とびら
,,,104,panel.bossSub,ぬし
,,,105,panel.monsterSub,モンスター
,,,106,panel.misfortuneSub,不利イベント
,,,107,panel.eventSub,イベント
,,,108,panel.chapterClearSub,つぎの章へ
,,,109,panel.costLine,{n} コイン
,,,110,panel.wallet,手持ち {n} コイン
,,,111,panel.noRoom,インベントリに空きがない (もらうと整理になる)
,,,112,inventory.heading,もちもの
,,,113,inventory.organize,整理する
,,,114,battle.memoHeading,{name} の行動メモ
,,,115,battle.lethalChip,リーサル {n} 以下
,,,116,battle.stunnedChip,スタン中
,,,117,battle.stunBadge,スタン
,,,118,battle.actionPierce,貫通!
,,,119,fx.shieldAbsorb,シールド -{n}
,,,120,fx.enemyBlocked,ブロックされた
,,,121,fx.playerGuard,ブロック!
,,,122,fx.blockGain,ブロック +{n}
,,,123,fx.enemyShieldGain,シールド +{n}
,,,124,fx.stunned,スタン!
,,,125,fx.parry,パリィ!
,,,126,fx.enemyRest,ようすを見ている
,,,127,fx.enemySlow,先手をとられた (ねばねば)
,,,128,fx.enemyBlitz,先手をとられた!
,,,129,fx.shieldGain,シールド +{n}
,,,130,fx.poisonCured,どくが消えた
,,,131,fx.poisonGainNum,どく +{n}
,,,132,fx.statusGain,{name} {n}
,,,133,fx.statusSkipped,効かなかった
,,,134,fx.weaponsForcedOff,しびれて武器が外れた
,,,135,fx.confusionDeactivate,こんらんして装備が全部 OFF に
,,,136,fx.crossBreak.full,衣装が破れた!
,,,137,fx.crossBreak.normal,衣装がもどった
,,,138,fx.crossBreak.half,衣装が半分破れた!
,,,139,fx.crossBreak.same,これ以上は破れない
,,,140,fx.crossBreakIgnored,体温上昇中は変わらない
,,,141,fx.costumeChange,{name} に着がえた
,,,142,fx.sleepSkip,ねむっている…
,,,143,fx.sleepCured,目がさめた
,,,144,fx.abilityReady,{name} が復活
,,,145,fx.equipBreak,{name} がこわれた
,,,146,fx.itemUsedUp,{name} を使い切った
,,,147,fx.abilityBreak,{name} を使い切った
,,,148,fx.relicProc,{name}
,,,149,fx.bookRuleProc,本のルール: {name}
,,,150,fx.victory,勝利! +{n} コイン
,,,151,fx.flee,にげる…
,,,152,fx.delayedFire,予約の発動
,,,153,fx.gain,{name} を手に入れた
,,,154,fx.pendingGain,{name} が入り切らない
,,,155,fx.relicGain,レリック: {name}
,,,156,fx.coinGain,コイン {n}
,,,157,fx.loseEntities,もちものを全部落とした!
,,,158,fx.harshnessGain,過酷さが増した
,,,159,fx.rewards,ジュエル +{jewel} / クラウン +{crown}
,,,160,fx.extraUnlocked,本の要求を満たした… Extra Chapter が開く
,,,161,fx.bossAppear,ぬしが現れた
,,,162,fx.chapterClearAppear,とびらがひらいた
,,,163,skit.protagonist,おにーさん
,,,164,skit.end,クリックで終わる
,,,165,skit.next,▼ つぎへ
,,,166,skit.skip,とばす
,,,167,skit.sceneMissing,(この場面の絵は準備中)
,,,168,skit.type.talk,会話
,,,169,skit.type.scene,シーン
,,,170,skit.trigger.opening,はじまり
,,,171,skit.trigger.bookStart,本のはじまりで開放
,,,172,skit.trigger.bossBefore,ぬしの前で開放
,,,173,skit.trigger.bookClear,本の完走で開放
,,,174,skit.trigger.extraStart,Extra Chapter で開放
,,,175,skit.trigger.happyEnd,ハッピーエンドで開放
,,,176,skit.trigger.normalEnd,ノーマルエンドで開放
,,,177,skit.trigger.lose,敗北で開放
,,,178,event.head,イベント
,,,179,event.misfortuneHead,不利イベント
,,,180,event.lockedLabel,？？？
,,,181,event.fx.coins,コイン {n}
,,,182,event.fx.hp,ライフ {n}
,,,183,event.fx.gain,{name} を手に入れる
,,,184,event.fx.crossBreak,クロスブレイク
,,,185,event.fx.loseAllEntities,もちものを全部失う
,,,186,event.fx.loseAllCoins,コインを全部失う
,,,187,event.fx.harshness,過酷さ +{n}
,,,188,pending.note,{name} が入り切らない。並べ替えて置くか、受け取らない
,,,189,organize.hintDrag,ドラッグで並べ替え。上に放ると棚へ
,,,190,organize.hintPlace,空いているマスをクリックして置く
,,,191,organize.slots,スロット {n} / {max}
,,,192,organize.shelfEmpty,棚は空
,,,193,detail.clickToClose,右クリックでとじる
,,,194,detail.enemyHp,ライフ
,,,195,detail.reward,ほうび
,,,196,detail.coinN,{n} コイン
,,,197,detail.remaining,のこり
,,,198,detail.state,状態
,,,199,detail.recharge,復活条件
,,,200,detail.progress,進み
,,,201,detail.cost,回収価格
,,,202,detail.rightClick,右クリックで詳細
,,,203,status.kind.common,ステート
,,,204,status.kind.unique,固有バステ
,,,205,status.kind.costume,衣装
,,,206,status.kind.buff,バフ
,,,207,enemy.kind.normal,モンスター
,,,208,enemy.kind.characterUnique,固有の敵
,,,209,enemy.kind.placeholder,入替ダミー
,,,210,deck.summary,のこり {n} 枚 (モンスター {m})
,,,211,options.muteOnBlur,ほかの窓のときは消音
,,,212,options.fullscreen,フルスクリーン
,,,213,options.language,言語
,,,214,options.language.ja_jp,日本語
,,,215,savedata.heading,セーブ管理
,,,216,savedata.createdAt,はじめた日
,,,217,savedata.updatedAt,最終更新
,,,218,savedata.runs,挑戦回数
,,,219,savedata.clears,完走回数
,,,220,savedata.crowns,クラウン累計
,,,221,savedata.runSave,挑戦中のラン
,,,222,savedata.reset,初期化
,,,223,savedata.resetConfirm,進行データを全部消します。よろしいですか？
,,,224,credits.heading,クレジット
,,,225,credits.section.font,フォント
,,,226,credits.section.sound,音
,,,227,credits.section.art,絵
,,,228,credits.section.program,プログラム
,,,229,difficulty.heading,難易度
,,,230,difficulty.note,スターパレットの星をどう有効にして始めるか。
