_isTrial:integer,_isCien:integer,_isClean:integer,key:string,title:string,body:string
,,,panel,パネル,"章の 1 マス。下の段のパネルだけ選べます。
選ぶだけならノーリスク。中身を見て、やめて戻ってもだいじょうぶ。
処理するとパネルはなくなり、真上のパネルが落ちてきます。"
,,,next,ネクスト,"上の段のパネル。下の段が空くと落ちてきます。
山札が空になると ぬし が現れます。"
,,,battle,戦闘,"ふつうはプレイヤーが先攻のターン制バトルです。
装備の ON/OFF を切りかえ、アイテムやアビリティを使い、「こうげき」か「にげる」を選びます。
右の行動メモに敵の全ルーチンが並び、◀ が次の行動です。"
,,,harshness,本の要求,"不利イベントの再生と状態異常にかかった回数の合計。
最終章クリア時にこの値が本の要求以上なら Extra Chapter に進めます。"
,,,inventory,もちもの,"装備 (武器 / 防具)、アイテム、アビリティを横一列に持ちます。
戦闘中はクリックで装備の ON/OFF、アイテムやアビリティの使用。
戦闘外はドラッグで並べ替えられます。"
,,,relic,レリック,"ランのあいだずっと効く持ち物。幕間のショップで買えます。
同じレリックは 1 つまで。"
,,,deck,のこりのパネル,"この章にまだ出ていないパネルの一覧。中身は公開情報です。"
,,,bookRule,本のルール,"この本を通して効くルール。章名の下に常時表示されます。"
,,,coin,コイン,"章の中だけの通貨。敵を倒すか、パネルを捨てると増え、パネルを回収すると減ります。
章をクリアするとジュエルに換わります。"
,,,jewel,ジュエル,"幕間の通貨。章をクリアすると手に入り、ショップと回復に使います。"
,,,crown,クラウン,"幕間の通貨その 2。レアなレリックに必要です。"
,,,flee,にげる,"バトルから逃げます。敵はそのまま盤面に残り、ライフやシールドも引き継がれます。
結晶化中は逃げられません。"
,,,parry,パリィ,"敵の攻撃をブロックで全部受け止めると、敵は次の行動をスキップします。"
,,,shield,シールド,"ライフより先に削られる盾。毒は貫通します。敵のシールドはバトルをまたいで残ります。"
,,,enemyShield,敵のシールド,"敵の HP より先に受け止める殻。貫通攻撃は無視して HP を削れます。
バトルから逃げても残ったままです。"
,,,unique,固有バステ,"ヒロインごとの特別な状態異常。同時に 1 つだけ。衣装の効果は隠れます。"
,,,good,良性ステート,"有利なステート。章のあいだ残ります。"
,,,buff,バフ,"このバトル中だけの上下。行動するたびに残りが減ります。"
,,,costume,衣装,"クロスブレイクで衣装が破れると こうげき が下がります。
幕間で なおせます (体温上昇中はなおせない)。"
,,,poison,どく,"行動の直前にスタック値ぶんのダメージ。ブロックとシールドを貫通。回復すると全部消えます。"
,,,sleep,ねむり,"手番をスキップします。敵の攻撃を受けると目がさめます。"
,,,paralyze,しびれ,"武器を ON にできません。"
,,,arousal,はつじょう,"アビリティを使えません。"
,,,sticky,ねばねば,"いつも後攻になります。"
,,,confusion,こんらん,"もちものがシャッフルされ、中身が見えなくなります。"
,,,lethal,リーサルサイズ,"行動のあと、敵のライフが閾値以下なら倒します。この倒し方はジャストリーサルです。"
,,,evade,かいひ,"敵の次の通常攻撃を 1 回だけ無効化します。同じターンに 2 回攻撃されると 2 回目は当たります。"
,,,focus,こうちょう,"次の 1 回の通常攻撃のダメージが上がります。"
,,,star,星,"スターパレットの星。原点から道がつながっているものだけ有効にできます。
変動値はランの難しさの目安で、マイナスほど難しくなります。"
,,,starGate,ゲート,"進行データの条件を満たすと開く通路。開くとその先の星に道が伸びます。"
